episode,top1,reward,total_macs,normalized_macs,normalized_nnz,ckpt_name,action_history,agent_action_history
1,55.59,-7.471664447521032,20262528,49.96875,44.97377622377623,BEST_adc_episode_001,"[0.1875, 0.1875, 0.75, 0.1875, 0.1875, 0.1875, 0.1875, 0.625, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.53125, 0.796875, 0.1875, 0.1875, 0.1875]","[0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.64060384, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5325509, 0.8, 0.2, 0.2, 0.2]"
2,48.040000000000006,-8.566173991573633,14448384,35.63068181818182,44.96705217859064,adc_episode_002,"[0.5625, 0.1875, 0.75, 0.75, 0.1875, 0.75, 0.1875, 0.59375, 0.1875, 0.78125, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.796875, 0.1875]","[0.6113952, 0.2, 0.77715176, 0.8, 0.2, 0.78101426, 0.2, 0.6172896, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]"
3,33.17,-11.076577929272247,15780096,38.91477272727273,55.44311457772996,adc_episode_003,"[0.375, 0.3125, 0.1875, 0.75, 0.75, 0.4375, 0.1875, 0.1875, 0.78125, 0.78125, 0.1875, 0.78125, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875]","[0.4096109, 0.32922018, 0.2, 0.8, 0.8, 0.4927334, 0.2, 0.2, 0.8, 0.8, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,21.609999999999996,-12.914522498134303,14284800,35.22727272727273,44.15344271113502,adc_episode_004,"[0.1875, 0.1875, 0.75, 0.75, 0.6875, 0.6875, 0.75, 0.1875, 0.1875, 0.375, 0.1875, 0.78125, 0.1875, 0.5625, 0.1875, 0.1875, 0.546875, 0.1875, 0.1875]","[0.2, 0.2, 0.8, 0.8, 0.6931433, 0.70121616, 0.8, 0.2, 0.2, 0.37824214, 0.20681375, 0.8, 0.2, 0.57309604, 0.2, 0.2, 0.5597267, 0.2, 0.2]"
5,49.980000000000004,-8.342554246614586,17512704,43.1875,55.0564819795589,adc_episode_005,"[0.1875, 0.75, 0.1875, 0.1875, 0.1875, 0.75, 0.1875, 0.78125, 0.71875, 0.78125, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.4375]","[0.2, 0.8, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.7320402, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4382071]"
6,29.01,-11.890704529531282,18808704,46.38352272727273,42.41863905325444,adc_episode_006,"[0.6875, 0.1875, 0.1875, 0.1875, 0.75, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.78125, 0.1875, 0.796875, 0.1875, 0.328125, 0.21875, 0.1875]","[0.7162616, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.2, 0.33758944, 0.22015022, 0.2]"
7,29.479999999999997,-11.707539967068247,16219584,39.99857954545455,40.98305540613233,adc_episode_007,"[0.1875, 0.1875, 0.1875, 0.75, 0.1875, 0.75, 0.25, 0.1875, 0.1875, 0.1875, 0.65625, 0.1875, 0.78125, 0.796875, 0.1875, 0.1875, 0.546875, 0.1875, 0.1875]","[0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.26608127, 0.2, 0.2, 0.2, 0.67828786, 0.2, 0.8, 0.8, 0.2, 0.2, 0.54987895, 0.2, 0.2]"
8,40.5,-9.979001044738254,19219392,47.39630681818181,45.683162990855294,adc_episode_008,"[0.1875, 0.75, 0.1875, 0.3125, 0.6875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.796875, 0.796875, 0.1875, 0.1875, 0.1875, 0.1875]","[0.2, 0.8, 0.2, 0.34389165, 0.7206159, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.2]"
9,26.8,-11.937110398634719,12085632,29.803977272727273,31.145777299623457,adc_episode_009,"[0.1875, 0.75, 0.75, 0.75, 0.1875, 0.1875, 0.75, 0.78125, 0.1875, 0.1875, 0.78125, 0.1875, 0.1875, 0.796875, 0.796875, 0.1875, 0.1875, 0.265625, 0.796875]","[0.2, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, 0.8, 0.2, 0.2, 0.2705093, 0.8]"
10,53.36000000000001,-7.760424979658303,16835328,41.51704545454545,39.95763851533082,adc_episode_010,"[0.5, 0.1875, 0.1875, 0.75, 0.4375, 0.1875, 0.1875, 0.1875, 0.3125, 0.25, 0.1875, 0.78125, 0.1875, 0.1875, 0.796875, 0.1875, 0.1875, 0.1875, 0.796875]","[0.5087335, 0.2, 0.22310375, 0.8, 0.4402622, 0.2, 0.2, 0.2, 0.33992076, 0.26379427, 0.2, 0.8, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.8]"
