episode,top1,reward,total_macs,normalized_macs,normalized_nnz,ckpt_name,action_history,agent_action_history
1,33.040000000000006,0.3304000000000001,12934656,31.897727272727273,17.079074771382462,BEST_adc_episode_001,"[0.75, 0, 0, 0.75, 0.75, 0.1875, 0, 0, 0.78125, 0, 0.78125, 0, 0, 0.796875, 0.796875, 0.796875, 0.765625, 0.796875, 0]","[0.8, 0.0, 0.0, 0.75428534, 0.8, 0.24526766, 0.0, 0.0, 0.8, 0.0, 0.8, 0.0, 0.0, 0.8, 0.8, 0.8, 0.76642257, 0.8, 0.0]"
2,34.51,0.34509999999999996,20291328,50.03977272727273,35.328133405056484,BEST_adc_episode_002,"[0.75, 0.125, 0, 0, 0.75, 0.5625, 0, 0, 0, 0.5625, 0, 0, 0, 0.796875, 0.796875, 0.796875, 0, 0.296875, 0.71875]","[0.8, 0.17893769, 0.0, 0.0, 0.8, 0.6087111, 0.0, 0.0, 0.0, 0.5730491, 0.0, 0.0, 0.0, 0.8, 0.8, 0.8, 0.0, 0.0, 0.0]"
3,46.79,0.4679,20015424,49.359375,43.854222700376546,BEST_adc_episode_003,"[0.25, 0.4375, 0.625, 0, 0, 0, 0, 0, 0.78125, 0, 0.78125, 0.40625, 0, 0, 0, 0.53125, 0.578125, 0.796875, 0]","[0.297757, 0.45267355, 0.6577741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.8, 0.42538527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0]"
4,29.569999999999997,0.29569999999999996,20286144,50.02698863636363,39.3928187197418,adc_episode_004,"[0.75, 0, 0, 0, 0.75, 0.75, 0.3125, 0.3125, 0, 0, 0.375, 0, 0, 0, 0.796875, 0.640625, 0, 0.6875, 0.375]","[0.8, 0.0, 0.0, 0.0, 0.8, 0.8, 0.3202856, 0.3392121, 0.0, 0.0, 0.39771163, 0.0, 0.0, 0.0, 0.8, 0.6530791, 0.0, 0.4586793, 0.19104968]"
5,41.7,0.41700000000000004,19999872,49.32102272727273,57.278778913394305,adc_episode_005,"[0.375, 0.75, 0, 0, 0.75, 0, 0.75, 0, 0, 0, 0.78125, 0.53125, 0, 0.390625, 0.71875, 0, 0.234375, 0, 0]","[0.4247698, 0.7967756, 0.0, 0.0, 0.8, 0.0, 0.8, 0.0, 0.0, 0.0, 0.8, 0.55605996, 0.017714858, 0.4015374, 0.7275591, 0.0, 0.23993926, 0.0, 0.0]"
6,42.39000000000001,0.42390000000000005,20293056,50.04403409090909,29.014254975793435,adc_episode_006,"[0, 0, 0.125, 0, 0, 0.5625, 0, 0, 0.4375, 0, 0.34375, 0.78125, 0, 0.71875, 0.796875, 0.796875, 0, 0.5, 0.59375]","[0.0, 0.0040054712, 0.13979279, 0.0, 0.0, 0.5806573, 0.0, 0.0, 0.4588497, 0.0, 0.0, 0.8, 0.0, 0.66444147, 0.8, 0.8, 0.0, 0.0, 0.37614235]"
7,30.479999999999997,0.30479999999999996,15082560,37.19460227272727,42.07235072619688,adc_episode_007,"[0, 0.75, 0, 0, 0.5625, 0, 0.75, 0, 0.59375, 0.78125, 0.78125, 0.78125, 0, 0.046875, 0.609375, 0, 0, 0.796875, 0]","[0.0, 0.8, 0.020280894, 0.0, 0.60788745, 0.0, 0.8, 0.0, 0.60573864, 0.8, 0.8, 0.8, 0.0, 0.051320527, 0.62208414, 0.0, 0.0, 0.8, 0.0]"
8,53.06999999999999,0.5307,20285568,50.02556818181818,37.14026358257128,BEST_adc_episode_008,"[0, 0, 0.75, 0, 0.1875, 0, 0.4375, 0.78125, 0, 0, 0.0625, 0.5625, 0.09375, 0.515625, 0, 0.609375, 0.484375, 0.609375, 0.484375]","[0.0, 0.0, 0.7530135, 0.0, 0.23333932, 0.0, 0.49174312, 0.8, 0.0, 0.0, 0.0823767, 0.56932735, 0.10851926, 0.52784395, 0.0, 0.47908375, 0.0, 0.0, 0.0]"
9,41.76,0.41759999999999997,19842048,48.93181818181818,63.39766003227542,adc_episode_009,"[0.1875, 0.375, 0, 0.75, 0, 0, 0.75, 0, 0.78125, 0.75, 0.46875, 0, 0.78125, 0, 0.109375, 0, 0, 0, 0.796875]","[0.24605331, 0.43500635, 0.0, 0.8, 0.0, 0.0, 0.8, 0.0, 0.8, 0.75561655, 0.47159702, 0.0, 0.8, 0.0, 0.12234522, 0.0, 0.0, 0.0, 0.8]"
10,52.910000000000004,0.5291,20281536,50.015625,42.16984938138784,adc_episode_010,"[0, 0.4375, 0.75, 0.75, 0, 0.75, 0, 0, 0, 0, 0.125, 0, 0, 0, 0.65625, 0.53125, 0.484375, 0.609375, 0.5]","[0.0, 0.47587755, 0.78828245, 0.8, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.15506224, 0.0, 0.0, 0.0, 0.0, 0.5423126, 0.20657629, 0.0, 0.0]"
