episode,top1,reward,total_macs,normalized_macs,normalized_nnz,ckpt_name,action_history,agent_action_history
1,20.14,0.2014,11442816,28.218749999999996,31.791285637439483,BEST_adc_episode_001,"[0.0625, 0.3125, 0.625, 0.625, 0.5, 0.625, 0.625, 0.28125, 0.75, 0.5, 0.21875, 0.6875, 0.53125, 0.40625, 0.53125, 0.671875, 0.078125, 0.265625, 0.53125]","[0.08415665434674326, 0.32854435046886493, 0.6486487040484364, 0.6835252042090019, 0.5035110998072743, 0.6786214065610782, 0.6395600698628794, 0.31072300294002164, 0.7622393077752324, 0.5293260226085498, 0.22725667289861273, 0.6924470450664589, 0.5619764974297123, 0.4101065610828509, 0.5372018678371113, 0.6771557308763463, 0.08601219658604706, 0.2775437033509216, 0.5409290478672346]"
2,28.82,0.2882,13038912,32.15482954545455,26.744889725658954,BEST_adc_episode_002,"[0, 0.125, 0.6875, 0.0625, 0.375, 0.375, 0.75, 0.75, 0.6875, 0.21875, 0.59375, 0.5, 0.09375, 0.21875, 0.59375, 0.359375, 0.734375, 0.5, 0.59375]","[0.05360804268833532, 0.14181237259966153, 0.7278991347318444, 0.09356296435859673, 0.3957835611951048, 0.39954152799435555, 0.787769750274963, 0.7574218677226644, 0.6937540595317695, 0.2374685337175311, 0.610984635360392, 0.5134709700284525, 0.11233981965836223, 0.22809205787689196, 0.5978625680997257, 0.3746553335707539, 0.7444932227336121, 0.5037383636004261, 0.6005507504994861]"
3,29.359999999999996,0.29359999999999997,15170688,37.41193181818182,25.73292092522862,BEST_adc_episode_003,"[0.5, 0.625, 0.125, 0.125, 0, 0.4375, 0.5625, 0.15625, 0.59375, 0.15625, 0.1875, 0.53125, 0.3125, 0.28125, 0.78125, 0.546875, 0.671875, 0.421875, 0.53125]","[0.5381926408115661, 0.6576439712791253, 0.1594183784023404, 0.1566505888983154, 0.056624543937550356, 0.4886464993428731, 0.6047080350911427, 0.1749416695961294, 0.6075143406680599, 0.1701292726155909, 0.19794974168801277, 0.5619313945122496, 0.3238983839963902, 0.2962214575559744, 0.7819758790574471, 0.561677844864734, 0.6870289297090059, 0.42596927219357417, 0.5444535649359525]"
4,55.879999999999995,0.5588,17638848,43.49857954545455,44.54679935449166,BEST_adc_episode_004,"[0.25, 0.5, 0.1875, 0.6875, 0.0625, 0.25, 0.375, 0.21875, 0.15625, 0.5, 0.40625, 0.21875, 0.65625, 0.375, 0.15625, 0.359375, 0.140625, 0.46875, 0.4375]","[0.25617259183747465, 0.5216085684883116, 0.19943561220590345, 0.7269383140335177, 0.10979604175666328, 0.2608511324810973, 0.41704316868345753, 0.22164703329538896, 0.1767628179191009, 0.5183820296835726, 0.43626509980289, 0.22292158485735383, 0.6679594185249424, 0.3884022075500952, 0.16165207142709367, 0.37496217093260314, 0.15047864042685724, 0.470018561530088, 0.4475801007040172]"
5,25.8,0.258,15553152,38.35511363636363,49.66043571812803,BEST_adc_episode_005,"[0.6875, 0.5, 0.25, 0.6875, 0, 0.75, 0.6875, 0.28125, 0.34375, 0.125, 0.625, 0.46875, 0.125, 0.09375, 0.375, 0.4375, 0.125, 0.203125, 0.40625]","[0.7203147610238094, 0.5046818526535961, 0.2777089053656343, 0.7168948388012164, 0.05502895989677375, 0.7842806366180027, 0.7030125539483185, 0.28430148527063936, 0.35285090399254926, 0.13934839900001156, 0.6479856720635855, 0.49893883706102726, 0.14964412129223262, 0.09605846583223457, 0.38320693148458645, 0.4518891912354004, 0.13974595092167386, 0.20591248980000146, 0.41750003491739124]"
6,21.030000000000005,0.21030000000000004,12989952,32.03409090909091,35.718128025820334,BEST_adc_episode_006,"[0.3125, 0.6875, 0.75, 0.625, 0.25, 0.625, 0.0625, 0.28125, 0.75, 0.4375, 0.125, 0.46875, 0.09375, 0.734375, 0.5625, 0.0625, 0.203125, 0.578125, 0.40625]","[0.3651333703312157, 0.7494490090203013, 0.7514260572864256, 0.6384462970857672, 0.2791755661739046, 0.6857471815758827, 0.11737416436758677, 0.2959293147065506, 0.7661026570986929, 0.44438667503728607, 0.1509835162358225, 0.48108278977189844, 0.11725019642698324, 0.7496367884790699, 0.5659241396406816, 0.06611302926191445, 0.21670274929224856, 0.5837547311016283, 0.41718882716798494]"
7,22.37,0.2237,12310272,30.357954545454547,35.65424959655729,BEST_adc_episode_007,"[0.4375, 0.1875, 0.75, 0.4375, 0.75, 0.5, 0.4375, 0.6875, 0.59375, 0.71875, 0.25, 0.25, 0.21875, 0.109375, 0.796875, 0.375, 0.5625, 0.09375, 0.171875]","[0.4909749135819981, 0.23115585333970692, 0.7547475150248849, 0.4603544520282301, 0.7671774387048116, 0.534768662737602, 0.4639399633242757, 0.715990433150231, 0.5939026390799211, 0.7201508642602125, 0.26027878363909784, 0.25612938956034537, 0.23265509942478957, 0.11474409025090215, 0.7978890596227087, 0.38040061914337686, 0.5726004342013682, 0.10062824289114514, 0.18370957235228585]"
8,38.349999999999994,0.38349999999999995,19117440,47.14488636363636,38.8145508337816,BEST_adc_episode_008,"[0.0625, 0.25, 0.3125, 0.125, 0.0625, 0.375, 0.5625, 0.09375, 0.34375, 0.0625, 0.78125, 0.1875, 0.1875, 0.109375, 0.359375, 0.25, 0.703125, 0.515625, 0.59375]","[0.09234433118977872, 0.25700258885336735, 0.314892288861078, 0.16363245351693717, 0.06855952239419505, 0.3848359727633564, 0.5789473643965402, 0.12207874621650142, 0.36416932070465907, 0.06649605206172737, 0.7987095809459409, 0.21298780195190736, 0.19842954751922584, 0.11360339066293053, 0.3639787582602525, 0.25431893928067806, 0.7081524872228547, 0.5250076521331556, 0.6070292608164184]"
9,22.550000000000004,0.22550000000000003,13127616,32.37357954545455,28.039268423883808,BEST_adc_episode_009,"[0.625, 0.125, 0.4375, 0.5625, 0.625, 0.125, 0.6875, 0.71875, 0.03125, 0.1875, 0.5, 0.40625, 0.125, 0.59375, 0.640625, 0.59375, 0.703125, 0.328125, 0.1875]","[0.6787675690868734, 0.16360282495872172, 0.44635884881373716, 0.6050771189558006, 0.6828425586820386, 0.15413113459883074, 0.72076820389247, 0.742637744635814, 0.06126067437035551, 0.19083893798371515, 0.5042257758422262, 0.4157039211931743, 0.1325647427480403, 0.5971476755190213, 0.6490887261934016, 0.6013418212700179, 0.7087828162787251, 0.3346820747001173, 0.1928331381803466]"
10,12.709999999999999,0.1271,11030400,27.201704545454547,33.2672135556751,BEST_adc_episode_010,"[0.6875, 0.6875, 0.6875, 0.0625, 0.6875, 0.3125, 0.6875, 0.25, 0.09375, 0.78125, 0.25, 0.78125, 0.53125, 0.21875, 0.171875, 0.734375, 0.328125, 0.40625, 0.40625]","[0.7128625602492684, 0.6888777735617378, 0.7382022551873767, 0.06464080165495548, 0.7215197418220269, 0.3584504730571794, 0.6937918522164219, 0.2721984329456287, 0.11583136729621372, 0.7927795020196845, 0.2715256972597982, 0.7818259824097007, 0.5467449980383966, 0.23293919286650736, 0.1736113873941229, 0.7472918689548773, 0.33290360857304374, 0.41896417419118, 0.42005366822082363]"
