Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
1,0.0,1.0,19.0,1.0,19.0,19.0,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,0.2014,0.0,0.2014,0.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,38.0,2.0,19.0,38.0,0.5,,,0.0,10.261255979537964,,,,,,,,,,,,,,,,0.28819999999999996,5.551115123125783e-17,0.2882,0.2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,57.0,3.0,19.0,57.0,0.5,,,0.0,20.061906099319458,,,,,,,,,,,,,,,,0.2935999999999999,5.551115123125783e-17,0.29359999999999997,0.29359999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,76.0,4.0,19.0,76.0,0.5,,,0.0,30.91125178337097,,,,,,,,,,,,,,,,0.5588,0.0,0.5588,0.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,95.0,5.0,19.0,95.0,0.5,,,0.0,41.31717276573181,,,,,,,,,,,,,,,,0.258,0.0,0.258,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,114.0,6.0,19.0,114.0,0.5,,,0.0,51.05343198776245,,,,,,,,,,,,,,,,0.21030000000000007,2.7755575615628914e-17,0.21030000000000004,0.21030000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,133.0,7.0,19.0,133.0,0.5,,,0.0,60.40221428871155,,,,,,,,,,,,,,,,0.2237,0.0,0.2237,0.2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,152.0,8.0,19.0,152.0,0.5,,,0.0,70.65434217453003,,,,,,,,,,,,,,,,0.3834999999999999,5.551115123125783e-17,0.38349999999999995,0.38349999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,171.0,9.0,19.0,171.0,0.5,,,0.0,79.8943510055542,,,,,,,,,,,,,,,,0.22550000000000006,2.7755575615628914e-17,0.22550000000000003,0.22550000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,190.0,10.0,19.0,190.0,0.5,,,0.0,89.20587801933289,,,,,,,,,,,,,,,,0.1271,0.0,0.1271,0.1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,209.0,11.0,19.0,209.0,0.5,,,0.0,98.89018726348877,,,,,,,,,,,,,,,,0.16449999999999995,2.7755575615628914e-17,0.16449999999999998,0.16449999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,228.0,12.0,19.0,228.0,0.5,,,0.0,990.6465878486633,,,,,,,,,,,,,,,,0.3866,5.551115123125783e-17,0.38660000000000005,0.38660000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,247.0,13.0,19.0,247.0,0.5,,,0.0,1000.4312076568604,,,,,,,,,,,,,,,,0.4033999999999999,5.551115123125783e-17,0.4034,0.4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,266.0,14.0,19.0,266.0,0.5,,,0.0,1009.7538480758667,,,,,,,,,,,,,,,,0.41120000000000007,0.0,0.41120000000000007,0.41120000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,285.0,15.0,19.0,285.0,0.5,,,0.0,1020.0048975944519,,,,,,,,,,,,,,,,0.2431,2.7755575615628914e-17,0.24309999999999998,0.24309999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,304.0,16.0,19.0,304.0,0.5,,,0.0,1029.5363318920135,,,,,,,,,,,,,,,,0.22629999999999997,2.7755575615628914e-17,0.22629999999999995,0.22629999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,323.0,17.0,19.0,323.0,0.5,,,0.0,1038.9585967063904,,,,,,,,,,,,,,,,0.29990000000000006,0.0,0.29990000000000006,0.29990000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,342.0,18.0,19.0,342.0,0.5,,,0.0,1048.9637296199799,,,,,,,,,,,,,,,,0.12509999999999996,2.7755575615628914e-17,0.1251,0.1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,361.0,19.0,19.0,361.0,0.5,,,0.0,1058.843271970749,,,,,,,,,,,,,,,,0.46340000000000003,0.0,0.46340000000000003,0.46340000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,380.0,20.0,19.0,380.0,0.5,,,0.0,1068.025752544403,,,,,,,,,,,,,,,,0.16679999999999992,2.7755575615628914e-17,0.16679999999999995,0.16679999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,399.0,21.0,19.0,399.0,0.5,,,0.0,1078.4190700054169,,,,,,,,,,,,,,,,0.43960000000000005,5.551115123125783e-17,0.4396,0.4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,418.0,22.0,19.0,418.0,0.5,,,0.0,1089.285561800003,,,,,,,,,,,,,,,,0.3231,0.0,0.3231,0.3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,437.0,23.0,19.0,437.0,0.5,,,0.0,1099.5737388134003,,,,,,,,,,,,,,,,0.3554000000000001,5.551115123125783e-17,0.35540000000000005,0.35540000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,456.0,24.0,19.0,456.0,0.5,,,0.0,1110.544579744339,,,,,,,,,,,,,,,,0.2603,0.0,0.2603,0.2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,475.0,25.0,19.0,475.0,0.5,,,0.0,1120.728363275528,,,,,,,,,,,,,,,,0.40920000000000006,5.551115123125783e-17,0.4092,0.4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,494.0,26.0,19.0,494.0,0.5,,,0.0,1130.8715002536774,,,,,,,,,,,,,,,,0.3094,0.0,0.3094,0.3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,513.0,27.0,19.0,513.0,0.5,,,0.0,1140.5225212574005,,,,,,,,,,,,,,,,0.27240000000000003,5.551115123125783e-17,0.2724,0.2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,532.0,28.0,19.0,532.0,0.5,,,0.0,1150.59606051445,,,,,,,,,,,,,,,,0.1369,2.7755575615628914e-17,0.13690000000000002,0.13690000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,551.0,29.0,19.0,551.0,0.5,,,0.0,1161.2081112861633,,,,,,,,,,,,,,,,0.3814,5.551115123125783e-17,0.38139999999999996,0.38139999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,570.0,30.0,19.0,570.0,0.5,,,0.0,1172.6194095611572,,,,,,,,,,,,,,,,0.18420000000000006,2.7755575615628914e-17,0.18420000000000003,0.18420000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,589.0,31.0,19.0,589.0,0.5,,,0.0,1183.7633545398712,,,,,,,,,,,,,,,,0.4266,0.0,0.4266,0.4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,608.0,32.0,19.0,608.0,0.5,,,0.0,1193.4352798461914,,,,,,,,,,,,,,,,0.4050000000000001,5.551115123125783e-17,0.405,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
