iteration,top1,param_name,normalized_macs,total_macs
1,85.16,module.layer1.1.conv2.weight,0.9927272727272727,40255488
2,84.81,module.layer1.2.conv1.weight,0.9856818181818182,39969792
3,85.74,module.conv1.weight,0.9813636363636363,39794688
4,84.57000000000001,module.layer1.0.conv2.weight,0.9740909090909091,39499776
5,86.43,module.layer1.2.conv1.weight,0.9670454545454545,39214080
6,86.27,module.layer3.1.conv1.weight,0.9561363636363637,38771712
7,85.79,module.layer2.1.conv1.weight,0.9452272727272727,38329344
8,85.75,module.layer3.2.conv2.weight,0.9397727272727273,38108160
9,86.36,module.layer2.1.conv1.weight,0.9325,37813248
10,85.98,module.layer2.1.conv1.weight,0.9252272727272727,37518336
11,86.98,module.layer1.0.conv2.weight,0.9179545454545455,37223424
12,86.52,module.layer3.2.conv1.weight,0.9075568181818182,36801792
13,85.87,module.layer1.0.conv2.weight,0.9002840909090909,36506880
14,85.89,module.layer1.1.conv2.weight,0.8934659090909091,36230400
15,86.16,module.conv1.weight,0.8891477272727273,36055296
16,85.92999999999999,module.conv1.weight,0.8848295454545455,35880192
17,86.14,module.layer3.2.conv2.weight,0.8807102272727273,35713152
18,86.71,module.layer1.2.conv1.weight,0.8738920454545455,35436672
19,86.37,module.layer1.0.conv1.weight,0.8679829545454546,35197056
20,86.89,module.layer3.2.conv1.weight,0.8596732954545454,34860096
21,86.99,module.layer1.2.conv1.weight,0.8528551136363637,34583616
22,86.63,module.layer1.0.conv1.weight,0.8469460227272727,34344000
23,86.05000000000001,module.layer1.2.conv1.weight,0.8401278409090909,34067520
24,86.52,module.layer3.2.conv2.weight,0.8363636363636363,33914880
25,87.24000000000001,module.layer3.2.conv2.weight,0.8333522727272727,33792768
26,86.86,module.layer3.2.conv2.weight,0.8303409090909091,33670656
27,86.98,module.layer2.2.conv1.weight,0.8194318181818182,33228288
28,86.13,module.layer2.2.conv1.weight,0.8121590909090909,32933376
29,86.61999999999999,module.layer1.0.conv1.weight,0.80625,32693760
30,86.2,module.layer1.1.conv1.weight,0.8001136363636364,32444928
31,86.76,module.conv1.weight,0.7964772727272728,32297472
32,85.88,module.layer2.0.conv2.weight,0.7867613636363636,31903488
33,86.44000000000001,module.layer3.2.conv2.weight,0.78375,31781376
34,85.94,module.layer3.1.conv1.weight,0.7746590909090909,31412736
35,86.17,module.layer1.1.conv2.weight,0.76875,31173120
36,85.87,module.conv1.weight,0.7651136363636364,31025664
37,85.61,module.layer1.2.conv1.weight,0.7585227272727273,30758400
38,85.68,module.layer3.2.conv2.weight,0.7562642045454545,30666816
39,85.28999999999999,module.layer2.2.conv2.weight,0.7489346590909091,30369600
40,84.72999999999999,module.layer1.1.conv1.weight,0.7430255681818182,30129984
41,84.99,module.conv1.weight,0.7393892045454545,29982528
42,85.00999999999999,module.layer3.2.conv1.weight,0.7325,29703168
