parameter,sparsity,top1,top5,loss
features.module.0.weight,0.0,56.518,79.07,1.9159247571108287
features.module.0.weight,0.05,56.523999999999994,79.074,1.9160722874257028
features.module.0.weight,0.1,56.504,79.132,1.916176185620074
features.module.0.weight,0.15000000000000002,56.446,79.13799999999999,1.9178193819766145
features.module.0.weight,0.2,56.279999999999994,78.99000000000001,1.9264985751740786
features.module.0.weight,0.25,56.174,78.972,1.9274529322069522
features.module.0.weight,0.30000000000000004,55.898,78.69,1.9406537547403446
features.module.0.weight,0.35000000000000003,55.216,78.24,1.9735585806929337
features.module.0.weight,0.4,53.638000000000005,77.194,2.045678479330881
features.module.0.weight,0.45,50.866,74.74199999999999,2.1973586420015425
features.module.0.weight,0.5,46.096000000000004,69.808,2.486627212288427
features.module.0.weight,0.55,39.454,62.785999999999994,2.9393965468114747
features.module.0.weight,0.6000000000000001,31.401999999999997,53.25,3.5452243126168526
features.module.0.weight,0.65,21.972,40.410000000000004,4.407071163459704
features.module.0.weight,0.7000000000000001,13.8,27.717999999999996,5.362233013522869
features.module.0.weight,0.75,7.762000000000002,17.656000000000006,6.17690652487229
features.module.0.weight,0.8,3.0440000000000023,8.399999999999997,7.200552281068299
features.module.0.weight,0.8500000000000001,1.200000000000001,3.747999999999996,8.078107422711897
features.module.0.weight,0.9,0.45399999999999885,1.6279999999999961,8.430133167578244
features.module.3.weight,0.0,56.518,79.07,1.9159247571108287
features.module.3.weight,0.05,56.50200000000001,79.086,1.9160304823700263
features.module.3.weight,0.1,56.504,79.058,1.9164235673996872
features.module.3.weight,0.15000000000000002,56.465999999999994,79.07,1.9171819817654943
features.module.3.weight,0.2,56.394,79.048,1.9205616308110096
features.module.3.weight,0.25,56.36,78.982,1.9226555188699648
features.module.3.weight,0.30000000000000004,56.308,78.916,1.9263181029533851
features.module.3.weight,0.35000000000000003,56.10999999999999,78.82400000000001,1.932801363723619
features.module.3.weight,0.4,55.86,78.688,1.941912931447126
features.module.3.weight,0.45,55.516,78.468,1.956432136345883
features.module.3.weight,0.5,55.152,78.148,1.9818568141484745
features.module.3.weight,0.55,54.566,77.754,2.0067526384884005
features.module.3.weight,0.6000000000000001,53.126000000000005,76.452,2.0850321379851335
features.module.3.weight,0.65,51.425999999999995,75.058,2.174616932260746
features.module.3.weight,0.7000000000000001,47.897999999999996,71.956,2.3638241345785103
features.module.3.weight,0.75,43.46600000000001,67.962,2.608555311755257
features.module.3.weight,0.8,36.55199999999999,60.612,3.0487319121555387
features.module.3.weight,0.8500000000000001,25.507999999999996,47.246,3.8879939573151723
features.module.3.weight,0.9,12.982000000000005,27.703999999999994,5.339887678623197
features.module.6.weight,0.0,56.518,79.07,1.9159247571108287
features.module.6.weight,0.05,56.492,79.10000000000001,1.9161259121432592
features.module.6.weight,0.1,56.508,79.084,1.9158497933222314
features.module.6.weight,0.15000000000000002,56.436,79.038,1.9173042485300371
features.module.6.weight,0.2,56.46,79.058,1.9183242983964022
features.module.6.weight,0.25,56.36399999999999,79.04599999999999,1.919541505222418
features.module.6.weight,0.30000000000000004,56.269999999999996,78.97000000000001,1.923368300102196
features.module.6.weight,0.35000000000000003,56.211999999999996,78.854,1.9314709114176885
features.module.6.weight,0.4,55.994,78.72,1.9436241503880956
features.module.6.weight,0.45,55.82,78.506,1.956150464561521
features.module.6.weight,0.5,55.352000000000004,78.23400000000001,1.9760503662484024
features.module.6.weight,0.55,54.918,77.902,2.0009631043185996
features.module.6.weight,0.6000000000000001,54.279999999999994,77.46,2.0269838817873778
features.module.6.weight,0.65,52.964,76.338,2.0978548748760795
features.module.6.weight,0.7000000000000001,51.093999999999994,74.832,2.1929908628974637
features.module.6.weight,0.75,48.092,72.516,2.342283385140557
features.module.6.weight,0.8,43.594,68.29799999999999,2.595617481032198
features.module.6.weight,0.8500000000000001,35.424,60.3,3.0866137761242523
features.module.6.weight,0.9,27.964,51.29,3.5824374410570856
features.module.8.weight,0.0,56.518,79.07,1.9159247571108287
features.module.8.weight,0.05,56.508,79.094,1.9158095309928977
features.module.8.weight,0.1,56.482,79.096,1.9160728983733126
features.module.8.weight,0.15000000000000002,56.46,79.078,1.916330651361116
features.module.8.weight,0.2,56.43,79.0,1.917005246999312
features.module.8.weight,0.25,56.418,78.988,1.917226085553364
features.module.8.weight,0.30000000000000004,56.312000000000005,78.994,1.9183780368493524
features.module.8.weight,0.35000000000000003,56.228,78.974,1.9201611396001312
features.module.8.weight,0.4,56.162,78.994,1.922736409671452
features.module.8.weight,0.45,56.04599999999999,78.86999999999999,1.928383593048368
features.module.8.weight,0.5,55.879999999999995,78.706,1.9355208332441292
features.module.8.weight,0.55,55.642,78.514,1.9478354502697386
features.module.8.weight,0.6000000000000001,55.24400000000001,78.248,1.9651576548206569
features.module.8.weight,0.65,54.652,77.956,1.9883205601755447
features.module.8.weight,0.7000000000000001,53.87,77.18599999999999,2.032826729879087
features.module.8.weight,0.75,52.678000000000004,76.334,2.107707883630478
features.module.8.weight,0.8,50.858000000000004,74.966,2.2177888276625652
features.module.8.weight,0.8500000000000001,47.656,72.288,2.4451138109576935
features.module.8.weight,0.9,40.10399999999999,65.376,2.951467045715878
features.module.10.weight,0.0,56.518,79.07,1.9159247571108287
features.module.10.weight,0.05,56.516,79.08,1.915895341914527
features.module.10.weight,0.1,56.51200000000001,79.084,1.915933970894132
features.module.10.weight,0.15000000000000002,56.535999999999994,79.098,1.9158408468475148
features.module.10.weight,0.2,56.504,79.05,1.916101210275475
features.module.10.weight,0.25,56.542,79.074,1.9164089499687658
features.module.10.weight,0.30000000000000004,56.508,79.074,1.9177634405846495
features.module.10.weight,0.35000000000000003,56.458000000000006,79.078,1.9171148489932621
features.module.10.weight,0.4,56.408,79.078,1.9182500678057575
features.module.10.weight,0.45,56.31999999999999,79.02799999999999,1.9194330268976638
features.module.10.weight,0.5,56.174,78.96600000000001,1.9228197202390551
features.module.10.weight,0.55,56.084,78.936,1.9286973394301465
features.module.10.weight,0.6000000000000001,55.72200000000001,78.88199999999999,1.9382718439613074
features.module.10.weight,0.65,55.362,78.582,1.9545102937489145
features.module.10.weight,0.7000000000000001,54.848000000000006,78.192,1.9807924384973492
features.module.10.weight,0.75,53.93,77.522,2.0284456014633174
features.module.10.weight,0.8,52.138,76.144,2.134576271079025
features.module.10.weight,0.8500000000000001,48.854,73.484,2.3563461939291086
features.module.10.weight,0.9,39.628,64.90400000000001,2.9243608311730993
classifier.1.weight,0.0,56.518,79.07,1.9159247571108287
classifier.1.weight,0.05,56.513999999999996,79.07,1.915941745651012
classifier.1.weight,0.1,56.506,79.082,1.9158452755334432
classifier.1.weight,0.15000000000000002,56.47800000000001,79.08,1.9156726528795387
classifier.1.weight,0.2,56.494,79.08,1.9154568189869121
classifier.1.weight,0.25,56.504,79.042,1.915112094915643
classifier.1.weight,0.30000000000000004,56.462,79.06,1.9145823610680444
classifier.1.weight,0.35000000000000003,56.434000000000005,79.074,1.9138086632806441
classifier.1.weight,0.4,56.384,79.05,1.9133980590469981
classifier.1.weight,0.45,56.384,79.07600000000001,1.912857842080447
classifier.1.weight,0.5,56.38799999999999,79.03,1.9129894594756922
classifier.1.weight,0.55,56.33200000000001,78.988,1.9150779113477587
classifier.1.weight,0.6000000000000001,56.330000000000005,78.988,1.9204495026140789
classifier.1.weight,0.65,56.230000000000004,78.962,1.9329308542061818
classifier.1.weight,0.7000000000000001,56.044000000000004,78.866,1.9575421281006873
classifier.1.weight,0.75,55.714,78.61200000000001,2.0041936295373097
classifier.1.weight,0.8,55.25599999999999,78.414,2.1002295920435277
classifier.1.weight,0.8500000000000001,54.454,77.854,2.3126920954305312
classifier.1.weight,0.9,53.01199999999999,76.52799999999999,2.825547844171525
classifier.4.weight,0.0,56.518,79.07,1.9159247571108287
classifier.4.weight,0.05,56.525999999999996,79.062,1.9159057520481997
classifier.4.weight,0.1,56.51200000000001,79.06400000000001,1.9158873843903441
classifier.4.weight,0.15000000000000002,56.50200000000001,79.118,1.9159948761974068
classifier.4.weight,0.2,56.494,79.11399999999999,1.9156810169925507
classifier.4.weight,0.25,56.522000000000006,79.122,1.9154923509578319
classifier.4.weight,0.30000000000000004,56.548,79.10000000000001,1.9156975338653635
classifier.4.weight,0.35000000000000003,56.48599999999999,79.09200000000001,1.9159012427743602
classifier.4.weight,0.4,56.513999999999996,79.156,1.9161070381500276
classifier.4.weight,0.45,56.528,79.106,1.9161073893916858
classifier.4.weight,0.5,56.538,79.042,1.9172228951843406
classifier.4.weight,0.55,56.455999999999996,78.994,1.9190661362847505
classifier.4.weight,0.6000000000000001,56.324,78.922,1.9224369982067413
classifier.4.weight,0.65,56.182,78.804,1.9291712739029712
