parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,90.55,99.65,0.40965311452746395
module.conv1.weight,0.05,90.55,99.65,0.40965311005711563
module.conv1.weight,0.1,90.18,99.55000000000001,0.4340971469879151
module.conv1.weight,0.15000000000000002,90.03,99.56,0.4410974949598312
module.conv1.weight,0.2,89.42999999999999,99.51,0.46760815531015404
module.conv1.weight,0.25,89.44,99.49,0.47137416750192646
module.conv1.weight,0.30000000000000004,89.44,99.49,0.47137416750192646
module.conv1.weight,0.35000000000000003,88.67,99.4,0.5158213354647159
module.conv1.weight,0.4,88.44999999999999,99.4,0.5370603509247303
module.conv1.weight,0.45,88.32,99.42999999999999,0.5439418509602546
module.conv1.weight,0.5,85.45,99.22999999999999,0.6898269951343537
module.conv1.weight,0.55,85.45,99.22999999999999,0.6898269951343537
module.conv1.weight,0.6000000000000001,80.72,98.6,0.9544704914093017
module.conv1.weight,0.65,76.64,97.72,1.1915370360016826
module.conv1.weight,0.7000000000000001,67.19999999999999,95.47,1.8392477363348008
module.conv1.weight,0.75,65.69,94.86,1.9653528422117237
module.conv1.weight,0.8,65.69,94.86,1.9653528422117237
module.conv1.weight,0.8500000000000001,63.2,94.51,2.1010315120220184
module.conv1.weight,0.9,49.839999999999996,88.9,3.134781408309937
module.layer1.0.conv1.weight,0.0,90.55,99.65,0.40965311005711563
module.layer1.0.conv1.weight,0.05,90.55,99.65,0.40965311005711563
module.layer1.0.conv1.weight,0.1,90.57,99.63,0.4095479380339385
module.layer1.0.conv1.weight,0.15000000000000002,90.45,99.65,0.4162736628204584
module.layer1.0.conv1.weight,0.2,90.32,99.63,0.42017530798912056
module.layer1.0.conv1.weight,0.25,89.97,99.59,0.4395561255514621
module.layer1.0.conv1.weight,0.30000000000000004,89.97,99.59,0.4395561255514621
module.layer1.0.conv1.weight,0.35000000000000003,87.26,99.44,0.5623785346746445
module.layer1.0.conv1.weight,0.4,86.25,99.29,0.6203624390065671
module.layer1.0.conv1.weight,0.45,76.66,98.7,1.213412263989448
module.layer1.0.conv1.weight,0.5,75.22,98.54,1.3125842854380605
module.layer1.0.conv1.weight,0.55,75.22,98.54,1.3125842854380605
module.layer1.0.conv1.weight,0.6000000000000001,66.53999999999999,97.66,2.0008007526397713
module.layer1.0.conv1.weight,0.65,64.46000000000001,97.31,2.1729065150022504
module.layer1.0.conv1.weight,0.7000000000000001,20.209999999999994,81.24,8.810756373405457
module.layer1.0.conv1.weight,0.75,14.12,73.16,11.144861912727356
module.layer1.0.conv1.weight,0.8,14.12,73.16,11.144861912727356
module.layer1.0.conv1.weight,0.8500000000000001,10.68,62.75999999999999,14.251321244239811
module.layer1.0.conv1.weight,0.9,10.18,59.46,16.739119577407838
module.layer1.0.conv2.weight,0.0,90.55,99.65,0.40965311005711563
module.layer1.0.conv2.weight,0.05,90.55,99.65,0.40965311005711563
module.layer1.0.conv2.weight,0.1,90.51,99.6,0.41528251543641087
module.layer1.0.conv2.weight,0.15000000000000002,89.92,99.49,0.46394573524594307
module.layer1.0.conv2.weight,0.2,87.64,99.47,0.5627795621752738
module.layer1.0.conv2.weight,0.25,88.47,99.51,0.5148484706878663
module.layer1.0.conv2.weight,0.30000000000000004,88.47,99.51,0.5148484706878663
