parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,91.71000000000001,99.63,0.35311551988124845
module.conv1.weight,0.05,91.74,99.63,0.35341642685234553
module.conv1.weight,0.1,91.7,99.63,0.3530787643045188
module.conv1.weight,0.15000000000000002,91.63,99.62,0.35334606468677526
module.conv1.weight,0.2,91.69,99.63,0.35203714258968843
module.conv1.weight,0.25,91.71000000000001,99.62,0.3532930970191955
module.conv1.weight,0.30000000000000004,91.62,99.63,0.3525054536759853
module.conv1.weight,0.35000000000000003,91.60000000000001,99.64,0.35309390090405934
module.conv1.weight,0.4,91.53999999999999,99.63,0.35570181384682653
module.conv1.weight,0.45,91.47,99.62,0.35851495414972295
module.conv1.weight,0.5,91.34,99.66000000000001,0.36330429725348945
module.conv1.weight,0.55,91.36,99.66000000000001,0.36593559831380856
module.conv1.weight,0.6000000000000001,90.97999999999999,99.59,0.3828701511025429
module.conv1.weight,0.65,90.46,99.59,0.39793191477656364
module.conv1.weight,0.7000000000000001,89.59,99.58,0.44120239019393936
module.conv1.weight,0.75,89.26,99.6,0.4591489955782891
module.conv1.weight,0.8,85.84,99.29,0.6049519553780555
module.conv1.weight,0.8500000000000001,83.52999999999999,98.97,0.7464671984314919
module.conv1.weight,0.9,75.44,98.11999999999999,1.1675323247909546
module.layer1.0.conv1.weight,0.0,91.71000000000001,99.63,0.35311552211642266
module.layer1.0.conv1.weight,0.05,91.69,99.63,0.35309315249323836
module.layer1.0.conv1.weight,0.1,91.66,99.63,0.35292894169688227
module.layer1.0.conv1.weight,0.15000000000000002,91.73,99.63,0.35240164063870905
module.layer1.0.conv1.weight,0.2,91.61,99.63,0.3521526429802179
module.layer1.0.conv1.weight,0.25,91.69,99.64,0.3515098378062248
module.layer1.0.conv1.weight,0.30000000000000004,91.68,99.63,0.3511696569621562
module.layer1.0.conv1.weight,0.35000000000000003,91.68,99.65,0.3506023108959198
module.layer1.0.conv1.weight,0.4,91.71000000000001,99.64,0.35156808122992517
module.layer1.0.conv1.weight,0.45,91.69,99.63,0.3512917164713144
module.layer1.0.conv1.weight,0.5,91.53999999999999,99.64,0.3531566664576531
module.layer1.0.conv1.weight,0.55,91.53999999999999,99.65,0.3538267590105534
module.layer1.0.conv1.weight,0.6000000000000001,91.34,99.65,0.35925711169838903
module.layer1.0.conv1.weight,0.65,91.47,99.63,0.3622570034116507
module.layer1.0.conv1.weight,0.7000000000000001,91.35,99.61,0.3647905457764864
module.layer1.0.conv1.weight,0.75,91.38,99.65,0.36649729013443
module.layer1.0.conv1.weight,0.8,90.86,99.64,0.38309676051139835
module.layer1.0.conv1.weight,0.8500000000000001,90.49000000000001,99.55000000000001,0.4010121837258338
module.layer1.0.conv1.weight,0.9,87.74,99.28,0.5386863723397255
module.layer1.0.conv2.weight,0.0,91.71000000000001,99.63,0.35311552211642266
module.layer1.0.conv2.weight,0.05,91.71000000000001,99.63,0.3532194606959819
module.layer1.0.conv2.weight,0.1,91.74,99.63,0.35335587114095685
module.layer1.0.conv2.weight,0.15000000000000002,91.75999999999999,99.61,0.3546198651194573
module.layer1.0.conv2.weight,0.2,91.78999999999999,99.62,0.35446249917149536
module.layer1.0.conv2.weight,0.25,91.64,99.62,0.3558351002633572
module.layer1.0.conv2.weight,0.30000000000000004,91.60000000000001,99.61,0.3567381899803877
module.layer1.0.conv2.weight,0.35000000000000003,91.43,99.59,0.35742613188922406
module.layer1.0.conv2.weight,0.4,91.48,99.63,0.3595694359391929
module.layer1.0.conv2.weight,0.45,91.47,99.64,0.3600858949124814
module.layer1.0.conv2.weight,0.5,91.5,99.63,0.36170042082667353
module.layer1.0.conv2.weight,0.55,91.48,99.64,0.3630819294601679
module.layer1.0.conv2.weight,0.6000000000000001,91.33,99.65,0.36833688952028754
module.layer1.0.conv2.weight,0.65,91.01,99.6,0.3857999611645937
module.layer1.0.conv2.weight,0.7000000000000001,91.16,99.66000000000001,0.377732004597783
module.layer1.0.conv2.weight,0.75,90.95,99.63,0.3844441786408425
module.layer1.0.conv2.weight,0.8,90.81,99.65,0.39071330875158305
module.layer1.0.conv2.weight,0.8500000000000001,90.35,99.65,0.4077115949243307
