parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,91.71000000000001,99.63,0.35311552360653875
module.conv1.weight,0.05,91.71000000000001,99.63,0.35311552137136465
module.conv1.weight,0.1,91.71000000000001,99.63,0.3531160246580839
module.conv1.weight,0.15000000000000002,91.7,99.6,0.3556707870215177
module.conv1.weight,0.2,91.77,99.61,0.35661350637674327
module.conv1.weight,0.25,91.63,99.61,0.364720056951046
module.conv1.weight,0.30000000000000004,91.63,99.61,0.364720056951046
module.conv1.weight,0.35000000000000003,91.56,99.66000000000001,0.3659357216209173
module.conv1.weight,0.4,91.33,99.62,0.37506153099238876
module.conv1.weight,0.45,89.29,99.58,0.4639525547623634
module.layer1.0.conv1.weight,0.0,91.71000000000001,99.63,0.35311552137136465
module.layer1.0.conv1.weight,0.05,91.71000000000001,99.63,0.35311552137136465
module.layer1.0.conv1.weight,0.1,91.74,99.61,0.35845141820609566
module.layer1.0.conv1.weight,0.15000000000000002,91.43,99.61,0.36643725782632824
module.layer1.0.conv1.weight,0.2,91.32000000000001,99.61,0.37430312149226663
module.layer1.0.conv1.weight,0.25,91.25999999999999,99.61,0.37491717748343945
module.layer1.0.conv1.weight,0.30000000000000004,91.25999999999999,99.61,0.37491717748343945
module.layer1.0.conv1.weight,0.35000000000000003,91.2,99.56,0.37644043974578373
module.layer1.0.conv1.weight,0.4,91.08000000000001,99.57000000000001,0.3769345078617334
module.layer1.0.conv1.weight,0.45,90.95,99.59,0.38460774272680276
module.layer1.0.conv2.weight,0.0,91.71000000000001,99.63,0.35311552137136465
module.layer1.0.conv2.weight,0.05,91.71000000000001,99.63,0.35311552137136465
module.layer1.0.conv2.weight,0.1,91.67,99.61,0.35538124926388265
module.layer1.0.conv2.weight,0.15000000000000002,91.59,99.61,0.3681688256561756
module.layer1.0.conv2.weight,0.2,91.06,99.62,0.38680304773151875
module.layer1.0.conv2.weight,0.25,90.88000000000001,99.62,0.4009033553302288
module.layer1.0.conv2.weight,0.30000000000000004,90.88000000000001,99.62,0.4009033553302288
module.layer1.0.conv2.weight,0.35000000000000003,90.61,99.57000000000001,0.4134132962673903
module.layer1.0.conv2.weight,0.4,90.28,99.53,0.426560553908348
module.layer1.0.conv2.weight,0.45,89.75,99.55000000000001,0.4506628789007664
module.layer1.1.conv1.weight,0.0,91.71000000000001,99.63,0.35311552137136465
