parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,73.31400000000001,91.42,1.0843302748945296
module.conv1.weight,0.05,73.31400000000001,91.42,1.0843302755027402
module.conv1.weight,0.1,73.31400000000001,91.42,1.0843302755027402
module.conv1.weight,0.15000000000000002,73.31400000000001,91.42,1.0843302755027402
module.conv1.weight,0.2,73.30799999999999,91.43,1.084258257886585
module.conv1.weight,0.25,73.148,91.27199999999999,1.090095445437699
module.conv1.weight,0.30000000000000004,72.804,91.146,1.1016773589107451
module.conv1.weight,0.35000000000000003,71.86600000000001,90.648,1.1409836784005167
module.conv1.weight,0.4,64.284,85.50800000000001,1.515726171890083
module.conv1.weight,0.45,54.354,77.46600000000001,2.069091136662328
module.layer1.0.conv1.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.0.conv1.weight,0.05,73.164,91.352,1.0891983551638476
module.layer1.0.conv1.weight,0.1,70.364,89.644,1.2053135879793953
module.layer1.0.conv1.weight,0.15000000000000002,70.10799999999999,89.49199999999999,1.221375733766021
module.layer1.0.conv1.weight,0.2,69.27799999999999,88.942,1.261163748952807
module.layer1.0.conv1.weight,0.25,69.618,89.02799999999999,1.251336873033825
module.layer1.0.conv1.weight,0.30000000000000004,67.22200000000001,87.746,1.366600175749283
module.layer1.0.conv1.weight,0.35000000000000003,58.644000000000005,81.544,1.8642557914159734
module.layer1.0.conv1.weight,0.4,60.126000000000005,82.45400000000001,1.7766756970359352
module.layer1.0.conv1.weight,0.45,46.108000000000004,70.026,2.727529798843422
module.layer1.0.conv2.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.0.conv2.weight,0.05,73.244,91.448,1.084473189042539
module.layer1.0.conv2.weight,0.1,73.064,91.35,1.089466053004168
module.layer1.0.conv2.weight,0.15000000000000002,72.934,91.206,1.0950426092865526
module.layer1.0.conv2.weight,0.2,72.728,91.066,1.1025144217573868
module.layer1.0.conv2.weight,0.25,72.37,90.9,1.1169399000248121
module.layer1.0.conv2.weight,0.30000000000000004,71.82600000000001,90.45,1.1463149205154306
module.layer1.0.conv2.weight,0.35000000000000003,71.434,90.264,1.1666910947889695
module.layer1.0.conv2.weight,0.4,70.922,89.96,1.1891368397948698
module.layer1.0.conv2.weight,0.45,70.47399999999999,89.604,1.2089591500710473
module.layer1.1.conv1.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.1.conv1.weight,0.05,71.586,90.44,1.1524011989941403
module.layer1.1.conv1.weight,0.1,70.96199999999999,89.96600000000001,1.18121064332675
module.layer1.1.conv1.weight,0.15000000000000002,66.512,87.454,1.3900109371360476
module.layer1.1.conv1.weight,0.2,67.188,87.886,1.3586565572388314
module.layer1.1.conv1.weight,0.25,65.82000000000001,87.102,1.4206626935272804
module.layer1.1.conv1.weight,0.30000000000000004,64.49199999999999,86.026,1.4997762248528244
module.layer1.1.conv1.weight,0.35000000000000003,62.763999999999996,84.74,1.5960502626032238
module.layer1.1.conv1.weight,0.4,60.734,83.304,1.6864803609799366
module.layer1.1.conv1.weight,0.45,60.236000000000004,82.93,1.713412558241766
module.layer1.1.conv2.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.1.conv2.weight,0.05,73.26599999999999,91.45400000000001,1.084867281269055
module.layer1.1.conv2.weight,0.1,73.178,91.42399999999999,1.0866719393097626
module.layer1.1.conv2.weight,0.15000000000000002,73.146,91.316,1.0889466840545745
module.layer1.1.conv2.weight,0.2,73.08,91.28,1.091971998312035
module.layer1.1.conv2.weight,0.25,72.7,91.086,1.1055585970075765
module.layer1.1.conv2.weight,0.30000000000000004,72.444,90.928,1.1184471660122581
module.layer1.1.conv2.weight,0.35000000000000003,70.938,90.256,1.1713975322793946
module.layer1.1.conv2.weight,0.4,70.262,89.81,1.2038159866114055
module.layer1.1.conv2.weight,0.45,70.372,89.874,1.2014183324514607
module.layer1.2.conv1.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.2.conv1.weight,0.05,71.538,90.578,1.1512170916005058
module.layer1.2.conv1.weight,0.1,71.51799999999999,90.4,1.1573415150751878
module.layer1.2.conv1.weight,0.15000000000000002,71.332,90.322,1.1621351210134372
module.layer1.2.conv1.weight,0.2,71.288,90.262,1.1670664606653913
module.layer1.2.conv1.weight,0.25,69.852,89.382,1.2373450603716225
module.layer1.2.conv1.weight,0.30000000000000004,69.83200000000001,89.352,1.2358204508010224
module.layer1.2.conv1.weight,0.35000000000000003,68.37599999999999,88.55999999999999,1.2956448477141707
module.layer1.2.conv1.weight,0.4,67.75999999999999,88.21799999999999,1.322530223246739
module.layer1.2.conv1.weight,0.45,66.92,87.69,1.3640661160556629
module.layer1.2.conv2.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer1.2.conv2.weight,0.05,73.30600000000001,91.416,1.0843613483771988
module.layer1.2.conv2.weight,0.1,73.24,91.432,1.0848717217390633
module.layer1.2.conv2.weight,0.15000000000000002,73.168,91.35,1.0879043254773237
module.layer1.2.conv2.weight,0.2,73.03399999999999,91.306,1.0934211690815132
module.layer1.2.conv2.weight,0.25,72.88399999999999,91.196,1.100608192840401
module.layer1.2.conv2.weight,0.30000000000000004,72.76400000000001,91.072,1.1085265996504803
module.layer1.2.conv2.weight,0.35000000000000003,72.708,91.118,1.1083485299379239
module.layer1.2.conv2.weight,0.4,72.454,91.024,1.1175629862261063
module.layer1.2.conv2.weight,0.45,72.418,90.958,1.122956913800872
module.layer2.0.conv1.weight,0.0,73.31400000000001,91.42,1.0843302755027402
module.layer2.0.conv1.weight,0.05,72.974,91.362,1.0948015925835588
module.layer2.0.conv1.weight,0.1,72.42,91.062,1.1174285161708082
module.layer2.0.conv1.weight,0.15000000000000002,71.952,90.714,1.1371422118070176
module.layer2.0.conv1.weight,0.2,71.08,90.102,1.1801325405130574
module.layer2.0.conv1.weight,0.25,70.098,89.402,1.2267703629878104
module.layer2.0.conv1.weight,0.30000000000000004,68.948,88.666,1.2801470496520708
module.layer2.0.conv1.weight,0.35000000000000003,67.298,87.7,1.3559962313394163
module.layer2.0.conv1.weight,0.4,64.23,85.604,1.5046279494251513
module.layer2.0.conv1.weight,0.45,59.016000000000005,81.864,1.779220819777372
