parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,76.13,92.862,0.9646787271663851
module.conv1.weight,0.05,76.126,92.864,0.9645829913871631
module.conv1.weight,0.1,76.074,92.868,0.9645589365034685
module.conv1.weight,0.15000000000000002,76.116,92.84400000000001,0.9655666583198674
module.conv1.weight,0.2,76.116,92.85,0.9651329342503937
module.conv1.weight,0.25,75.902,92.774,0.9701027933280074
module.conv1.weight,0.30000000000000004,75.964,92.83200000000001,0.9705846450310583
module.conv1.weight,0.35000000000000003,75.62599999999999,92.618,0.9861591080469743
module.conv1.weight,0.4,75.41799999999999,92.44,0.9987547974653392
module.conv1.weight,0.45,74.664,92.12599999999999,1.0282822344072013
module.conv1.weight,0.5,72.86200000000001,91.122,1.1045055773337278
module.conv1.weight,0.55,71.102,90.11,1.1867485061591991
module.conv1.weight,0.6000000000000001,71.456,90.426,1.169605718887583
module.conv1.weight,0.65,66.07000000000001,86.558,1.4537381476589608
module.conv1.weight,0.7000000000000001,62.529999999999994,84.166,1.6346530056729616
module.conv1.weight,0.75,59.885999999999996,82.326,1.7575971173996827
module.conv1.weight,0.8,48.751999999999995,73.13799999999999,2.3904299723858764
module.conv1.weight,0.8500000000000001,40.818,64.326,2.918450883456638
module.conv1.weight,0.9,12.929999999999996,28.624000000000006,5.923330792358941
module.layer1.0.conv1.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.0.conv1.weight,0.05,76.13,92.862,0.9646792980481169
module.layer1.0.conv1.weight,0.1,76.13,92.862,0.9646800729084984
module.layer1.0.conv1.weight,0.15000000000000002,76.112,92.854,0.964742110319892
module.layer1.0.conv1.weight,0.2,76.1,92.86,0.9650174764802264
module.layer1.0.conv1.weight,0.25,76.106,92.86999999999999,0.9658367595046149
module.layer1.0.conv1.weight,0.30000000000000004,76.034,92.84599999999999,0.966077739790994
module.layer1.0.conv1.weight,0.35000000000000003,75.924,92.848,0.9688501686465981
module.layer1.0.conv1.weight,0.4,75.856,92.752,0.9722695573404125
module.layer1.0.conv1.weight,0.45,75.818,92.82000000000001,0.9740694645716222
module.layer1.0.conv1.weight,0.5,75.71,92.75,0.9778473943623963
module.layer1.0.conv1.weight,0.55,75.11,92.608,1.0038385845112554
module.layer1.0.conv1.weight,0.6000000000000001,74.362,92.168,1.0362348529149077
module.layer1.0.conv1.weight,0.65,73.734,91.78,1.066181103869969
module.layer1.0.conv1.weight,0.7000000000000001,71.898,90.596,1.1663150985782254
module.layer1.0.conv1.weight,0.75,69.916,89.504,1.253427676248307
module.layer1.0.conv1.weight,0.8,65.02600000000001,86.74,1.521456476072876
module.layer1.0.conv1.weight,0.8500000000000001,59.114,82.91,1.8516071666868366
module.layer1.0.conv1.weight,0.9,58.228,82.036,1.8762761682880165
module.layer1.0.conv2.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.0.conv2.weight,0.05,76.13,92.862,0.9646786741760314
module.layer1.0.conv2.weight,0.1,76.13,92.862,0.9646786741760314
module.layer1.0.conv2.weight,0.15000000000000002,76.132,92.862,0.9646880796217182
module.layer1.0.conv2.weight,0.2,76.12,92.86,0.9646518029728713
module.layer1.0.conv2.weight,0.25,76.11,92.842,0.9647280891634982
module.layer1.0.conv2.weight,0.30000000000000004,76.112,92.85799999999999,0.9648171408596089
module.layer1.0.conv2.weight,0.35000000000000003,76.114,92.838,0.9648604684946492
module.layer1.0.conv2.weight,0.4,76.076,92.822,0.964903202059926
module.layer1.0.conv2.weight,0.45,76.056,92.854,0.9651848757449464
module.layer1.0.conv2.weight,0.5,76.036,92.874,0.9656227760929234
module.layer1.0.conv2.weight,0.55,76.056,92.85600000000001,0.9658597388437815
module.layer1.0.conv2.weight,0.6000000000000001,76.042,92.872,0.9659843237272329
module.layer1.0.conv2.weight,0.65,75.956,92.886,0.9676336938021132
module.layer1.0.conv2.weight,0.7000000000000001,75.934,92.83399999999999,0.9703335348440673
module.layer1.0.conv2.weight,0.75,75.696,92.73400000000001,0.9774403881509689
module.layer1.0.conv2.weight,0.8,75.436,92.604,0.9886128248608843
module.layer1.0.conv2.weight,0.8500000000000001,74.094,91.86,1.0464757650482417
module.layer1.0.conv2.weight,0.9,73.224,91.44200000000001,1.0831625819662392
module.layer1.0.conv3.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.0.conv3.weight,0.05,76.13,92.862,0.9646784869231739
module.layer1.0.conv3.weight,0.1,76.13,92.862,0.9646784869231739
module.layer1.0.conv3.weight,0.15000000000000002,76.13,92.862,0.964676957273362
module.layer1.0.conv3.weight,0.2,76.128,92.862,0.9646701352784832
module.layer1.0.conv3.weight,0.25,76.12400000000001,92.86999999999999,0.9646273488749044
module.layer1.0.conv3.weight,0.30000000000000004,76.108,92.874,0.9645568736049593
module.layer1.0.conv3.weight,0.35000000000000003,76.112,92.86999999999999,0.9646400810808554
module.layer1.0.conv3.weight,0.4,76.096,92.85799999999999,0.9648312672364467
module.layer1.0.conv3.weight,0.45,76.05999999999999,92.862,0.9650758011456654
module.layer1.0.conv3.weight,0.5,76.008,92.84400000000001,0.9655357914767708
module.layer1.0.conv3.weight,0.55,75.986,92.83200000000001,0.9667245632379644
module.layer1.0.conv3.weight,0.6000000000000001,76.048,92.854,0.9664893376888061
module.layer1.0.conv3.weight,0.65,75.942,92.81200000000001,0.9683268023844884
module.layer1.0.conv3.weight,0.7000000000000001,75.886,92.72399999999999,0.9707373974426668
module.layer1.0.conv3.weight,0.75,75.64,92.676,0.9784780899632949
module.layer1.0.conv3.weight,0.8,75.33,92.528,0.9908264574347712
module.layer1.0.conv3.weight,0.8500000000000001,75.03800000000001,92.426,1.006398019133781
module.layer1.0.conv3.weight,0.9,74.354,92.046,1.0354055588190656
module.layer1.0.downsample.0.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.0.downsample.0.weight,0.05,76.13,92.862,0.9646788319306709
module.layer1.0.downsample.0.weight,0.1,76.13,92.862,0.9646788319306709
module.layer1.0.downsample.0.weight,0.15000000000000002,76.142,92.854,0.9646653058577553
module.layer1.0.downsample.0.weight,0.2,76.116,92.866,0.9646755104922516
module.layer1.0.downsample.0.weight,0.25,76.152,92.868,0.9646832746054445
module.layer1.0.downsample.0.weight,0.30000000000000004,76.108,92.908,0.9647561109491758
module.layer1.0.downsample.0.weight,0.35000000000000003,76.096,92.914,0.9649316178900852
module.layer1.0.downsample.0.weight,0.4,76.084,92.898,0.9655304634753542
module.layer1.0.downsample.0.weight,0.45,76.048,92.88,0.9673822538889179
module.layer1.0.downsample.0.weight,0.5,75.94,92.914,0.9689978541312168
module.layer1.0.downsample.0.weight,0.55,75.762,92.874,0.9772676244682192
module.layer1.0.downsample.0.weight,0.6000000000000001,75.38,92.708,0.9877143413284605
module.layer1.0.downsample.0.weight,0.65,75.092,92.53,1.0022879177514383
module.layer1.0.downsample.0.weight,0.7000000000000001,74.2,92.06400000000001,1.0438597826477214
module.layer1.0.downsample.0.weight,0.75,73.056,91.45400000000001,1.0916191030825888
module.layer1.0.downsample.0.weight,0.8,68.68,88.794,1.3103504979184704
module.layer1.0.downsample.0.weight,0.8500000000000001,54.852000000000004,78.62,2.063142064274574
module.layer1.0.downsample.0.weight,0.9,22.494000000000003,41.86,4.900243186220833
module.layer1.0.downsample.1.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.0.downsample.1.weight,0.05,76.13,92.862,0.9646787271663851
module.layer1.0.downsample.1.weight,0.1,76.13,92.862,0.9646787271663851
module.layer1.0.downsample.1.weight,0.15000000000000002,76.116,92.89,0.9647834827857358
module.layer1.0.downsample.1.weight,0.2,76.046,92.89,0.965690771992109
module.layer1.0.downsample.1.weight,0.25,75.854,92.828,0.969059542049559
module.layer1.0.downsample.1.weight,0.30000000000000004,75.602,92.766,0.9756054420556338
module.layer1.0.downsample.1.weight,0.35000000000000003,74.946,92.448,0.9993053837394226
module.layer1.0.downsample.1.weight,0.4,74.24,92.074,1.0300021522811487
module.layer1.0.downsample.1.weight,0.45,72.844,91.392,1.089382461899398
module.layer1.0.downsample.1.weight,0.5,71.876,90.854,1.1278453534659085
module.layer1.0.downsample.1.weight,0.55,69.69000000000001,89.798,1.2234430884828373
module.layer1.0.downsample.1.weight,0.6000000000000001,67.136,88.20400000000001,1.340300158882628
module.layer1.0.downsample.1.weight,0.65,56.56399999999999,80.89,1.8793126192628131
module.layer1.0.downsample.1.weight,0.7000000000000001,49.483999999999995,74.608,2.307645497273427
module.layer1.0.downsample.1.weight,0.75,30.592,53.674,3.71774855499365
module.layer1.0.downsample.1.weight,0.8,23.782000000000004,44.206,4.410026136709722
module.layer1.0.downsample.1.weight,0.8500000000000001,16.688000000000002,33.056,5.311978562754028
module.layer1.0.downsample.1.weight,0.9,8.886000000000005,19.789999999999996,6.58552733489445
module.layer1.1.conv1.weight,0.0,76.13,92.862,0.9646787271663851
module.layer1.1.conv1.weight,0.05,76.13,92.862,0.964678814520641
