parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,76.13,92.862,0.9646787385703351
module.conv1.weight,0.05,76.092,92.878,0.9647577350997194
module.conv1.weight,0.1,75.83,92.88,0.9732017052568949
module.conv1.weight,0.15000000000000002,75.544,92.672,0.9858137353190358
module.conv1.weight,0.2,75.036,92.434,1.00316541261819
module.conv1.weight,0.25,67.07600000000001,87.788,1.367336580947954
module.conv1.weight,0.30000000000000004,63.832,85.552,1.5320777771424268
module.conv1.weight,0.35000000000000003,62.72599999999999,84.932,1.5777477780166933
module.conv1.weight,0.4,54.571999999999996,78.654,2.0279791546719426
module.conv1.weight,0.45,45.67400000000001,69.792,2.5944640064726063
module.conv1.weight,0.5,12.258000000000003,26.004000000000005,6.298526190981571
module.layer1.0.conv1.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.0.conv1.weight,0.05,76.13,92.862,0.9646787385703351
module.layer1.0.conv1.weight,0.1,75.932,92.77,0.9672794009045679
module.layer1.0.conv1.weight,0.15000000000000002,76.012,92.842,0.9668000321455148
module.layer1.0.conv1.weight,0.2,75.316,92.622,0.9959884060128614
module.layer1.0.conv1.weight,0.25,75.302,92.594,0.997434276403213
module.layer1.0.conv1.weight,0.30000000000000004,75.18599999999999,92.47800000000001,1.0021765834975
module.layer1.0.conv1.weight,0.35000000000000003,74.424,91.99,1.039658749438063
module.layer1.0.conv1.weight,0.4,73.13799999999999,91.216,1.0942878348334713
module.layer1.0.conv1.weight,0.45,70.798,89.90599999999999,1.1983419334401888
module.layer1.0.conv1.weight,0.5,65.846,86.896,1.4433029138920255
module.layer1.0.conv2.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.0.conv2.weight,0.05,76.13,92.862,0.9646787385703351
module.layer1.0.conv2.weight,0.1,76.14,92.86999999999999,0.9648298266894967
module.layer1.0.conv2.weight,0.15000000000000002,76.088,92.83200000000001,0.9653575117034573
module.layer1.0.conv2.weight,0.2,76.042,92.878,0.9661754479973899
module.layer1.0.conv2.weight,0.25,75.82,92.824,0.9717823474534921
module.layer1.0.conv2.weight,0.30000000000000004,75.726,92.704,0.9781641415795503
module.layer1.0.conv2.weight,0.35000000000000003,73.08600000000001,91.33200000000001,1.098903458337394
module.layer1.0.conv2.weight,0.4,73.046,91.366,1.1005394557604984
module.layer1.0.conv2.weight,0.45,64.318,86.012,1.5271362866065938
module.layer1.0.conv2.weight,0.5,64.916,86.41799999999999,1.4901175172049177
module.layer1.0.conv3.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.0.conv3.weight,0.05,76.13,92.862,0.9646787385703351
module.layer1.0.conv3.weight,0.1,76.13,92.862,0.9646787382662295
module.layer1.0.conv3.weight,0.15000000000000002,76.134,92.86,0.9646867231598922
module.layer1.0.conv3.weight,0.2,76.13600000000001,92.876,0.9648272743334576
module.layer1.0.conv3.weight,0.25,76.126,92.866,0.964804031487022
module.layer1.0.conv3.weight,0.30000000000000004,76.042,92.892,0.966239919391822
module.layer1.0.conv3.weight,0.35000000000000003,75.982,92.91,0.96753498220018
module.layer1.0.conv3.weight,0.4,75.94,92.876,0.9695769828193038
module.layer1.0.conv3.weight,0.45,75.86,92.81200000000001,0.9735630200225487
module.layer1.0.conv3.weight,0.5,75.388,92.572,0.9887932550390158
module.layer1.0.downsample.0.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.0.downsample.0.weight,0.05,76.13,92.862,0.9646787385703351
module.layer1.0.downsample.0.weight,0.1,76.13,92.862,0.9646787385703351
module.layer1.0.downsample.0.weight,0.15000000000000002,76.084,92.852,0.9652105177543602
module.layer1.0.downsample.0.weight,0.2,75.978,92.854,0.9662235065230306
module.layer1.0.downsample.0.weight,0.25,75.778,92.784,0.9759335609114901
module.layer1.0.downsample.0.weight,0.30000000000000004,74.91399999999999,92.336,1.0159372910857198
module.layer1.0.downsample.0.weight,0.35000000000000003,71.514,90.47800000000001,1.1738625028911904
module.layer1.0.downsample.0.weight,0.4,67.556,87.998,1.3625655029805341
module.layer1.0.downsample.0.weight,0.45,61.681999999999995,84.002,1.6625876446463614
module.layer1.0.downsample.0.weight,0.5,40.928,65.08800000000001,3.0252077293639297
module.layer1.1.conv1.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.1.conv1.weight,0.05,76.13,92.862,0.9646787385703351
module.layer1.1.conv1.weight,0.1,76.098,92.876,0.9652870166666652
module.layer1.1.conv1.weight,0.15000000000000002,76.078,92.88,0.9660209278214948
module.layer1.1.conv1.weight,0.2,75.906,92.854,0.9702612833709134
module.layer1.1.conv1.weight,0.25,75.874,92.838,0.9720629371550619
module.layer1.1.conv1.weight,0.30000000000000004,75.71600000000001,92.784,0.9748685826756516
module.layer1.1.conv1.weight,0.35000000000000003,75.516,92.636,0.9820135380996733
module.layer1.1.conv1.weight,0.4,75.422,92.58999999999999,0.9858410236026562
module.layer1.1.conv1.weight,0.45,75.342,92.552,0.9901515745690892
module.layer1.1.conv1.weight,0.5,75.214,92.44,0.9973136783406443
module.layer1.1.conv2.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.1.conv2.weight,0.05,76.074,92.866,0.9656340561959206
module.layer1.1.conv2.weight,0.1,76.106,92.882,0.9665291072154533
module.layer1.1.conv2.weight,0.15000000000000002,76.004,92.838,0.9674485273355128
module.layer1.1.conv2.weight,0.2,75.74799999999999,92.798,0.973839068215112
module.layer1.1.conv2.weight,0.25,75.754,92.774,0.976552191209428
module.layer1.1.conv2.weight,0.30000000000000004,75.634,92.796,0.9795367948862973
module.layer1.1.conv2.weight,0.35000000000000003,75.57000000000001,92.67800000000001,0.9839644473122093
module.layer1.1.conv2.weight,0.4,75.566,92.636,0.9858285662318981
module.layer1.1.conv2.weight,0.45,75.09599999999999,92.49000000000001,1.0086073198792886
module.layer1.1.conv2.weight,0.5,74.634,92.238,1.0265772062904983
module.layer1.1.conv3.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.1.conv3.weight,0.05,76.13,92.862,0.9646781417636237
module.layer1.1.conv3.weight,0.1,76.13600000000001,92.862,0.9646657041597122
module.layer1.1.conv3.weight,0.15000000000000002,76.128,92.862,0.9646495287211573
module.layer1.1.conv3.weight,0.2,76.122,92.85799999999999,0.964540821633169
module.layer1.1.conv3.weight,0.25,76.142,92.85600000000001,0.9644717303465824
module.layer1.1.conv3.weight,0.30000000000000004,76.118,92.876,0.9645412101277283
module.layer1.1.conv3.weight,0.35000000000000003,76.1,92.9,0.9652030228504112
module.layer1.1.conv3.weight,0.4,76.056,92.876,0.9660147736419221
module.layer1.1.conv3.weight,0.45,76.018,92.85,0.9658604563042826
module.layer1.1.conv3.weight,0.5,75.958,92.862,0.9682643982220668
module.layer1.2.conv1.weight,0.0,76.13,92.862,0.9646787385703351
module.layer1.2.conv1.weight,0.05,76.054,92.892,0.9656125142105988
module.layer1.2.conv1.weight,0.1,76.058,92.84400000000001,0.9668843527229466
module.layer1.2.conv1.weight,0.15000000000000002,76.08200000000001,92.872,0.9668020492001456
module.layer1.2.conv1.weight,0.2,75.932,92.808,0.9682766031093746
