parameter,sparsity,top1,top5,loss
features.0.weight,0.0,89.22,99.58,0.7636774435639381
features.0.weight,0.05,89.22,99.58,0.7636774435639381
features.0.weight,0.1,89.22,99.58,0.7636774435639381
features.0.weight,0.15000000000000002,89.22,99.58,0.7636774435639381
features.0.weight,0.2,89.22,99.58,0.7636774435639381
features.0.weight,0.25,89.22,99.58,0.7636774435639381
features.0.weight,0.30000000000000004,89.22,99.58,0.7636774435639381
features.0.weight,0.35000000000000003,68.15,95.98,2.6556635022163384
features.0.weight,0.4,68.15,95.98,2.6556635022163384
features.0.weight,0.45,68.15,95.98,2.6556635022163384
features.0.weight,0.5,68.15,95.98,2.6556635022163384
features.0.weight,0.55,68.15,95.98,2.6556635022163384
features.0.weight,0.6000000000000001,68.15,95.98,2.6556635022163384
features.0.weight,0.65,68.15,95.98,2.6556635022163384
features.0.weight,0.7000000000000001,35.099999999999994,79.22,6.594213616847991
features.0.weight,0.75,35.099999999999994,79.22,6.594213616847991
features.0.weight,0.8,35.099999999999994,79.22,6.594213616847991
features.0.weight,0.8500000000000001,35.099999999999994,79.22,6.594213616847991
features.0.weight,0.9,35.099999999999994,79.22,6.594213616847991
features.2.weight,0.0,89.22,99.58,0.7636774435639381
features.2.weight,0.05,89.19,99.56,0.7651889458298684
features.2.weight,0.1,89.18,99.55000000000001,0.7670430049300195
features.2.weight,0.15000000000000002,89.09,99.62,0.7812006041407588
features.2.weight,0.2,88.98,99.62,0.7917364612221719
features.2.weight,0.25,88.55999999999999,99.62,0.8324924081563949
features.2.weight,0.30000000000000004,88.3,99.59,0.861794525384903
features.2.weight,0.35000000000000003,87.42,99.53,0.9269773110747336
features.2.weight,0.4,86.69,99.55000000000001,1.003380635380745
features.2.weight,0.45,86.55,99.49,1.0392508804798124
features.2.weight,0.5,84.01,99.35000000000001,1.1889065220952029
features.2.weight,0.55,82.83,99.19,1.2583119288086895
features.2.weight,0.6000000000000001,80.4,98.92,1.4815124928951267
features.2.weight,0.65,74.77000000000001,97.84,2.059452801942826
features.2.weight,0.7000000000000001,71.06,97.00999999999999,2.372544836997985
features.2.weight,0.75,63.0,94.96,3.3752232074737547
features.2.weight,0.8,52.370000000000005,91.8,4.972057831287385
features.2.weight,0.8500000000000001,46.220000000000006,87.36,5.8365840196609495
features.2.weight,0.9,23.599999999999998,68.82,11.625418305397034
features.5.weight,0.0,89.22,99.58,0.7636774435639381
features.5.weight,0.05,89.2,99.58,0.7695665135979651
features.5.weight,0.1,89.07000000000001,99.58,0.777985467016697
features.5.weight,0.15000000000000002,88.8,99.59,0.7968418329954148
features.5.weight,0.2,88.99000000000001,99.53999999999999,0.8164728745818136
features.5.weight,0.25,88.58,99.56,0.8313623622059821
features.5.weight,0.30000000000000004,88.37,99.53,0.8286508128046989
features.5.weight,0.35000000000000003,87.33999999999999,99.45,0.9081800788640976
features.5.weight,0.4,85.89,99.31,1.0216026619076728
features.5.weight,0.45,83.39999999999999,98.87,1.1970515057444573
features.5.weight,0.5,82.09,98.72,1.2643444284796712
features.5.weight,0.55,80.93,98.57000000000001,1.402244460582733
features.5.weight,0.6000000000000001,78.4,98.24000000000001,1.6622346818447113
features.5.weight,0.65,76.1,97.92999999999999,1.821042415499687
features.5.weight,0.7000000000000001,70.7,97.07000000000001,2.141398164629936
features.5.weight,0.75,56.00000000000001,93.44,3.3105062603950506
features.5.weight,0.8,57.42,95.12,2.8576306760311123
features.5.weight,0.8500000000000001,19.169999999999998,87.91,9.00937354564667
features.5.weight,0.9,20.279999999999998,87.05000000000001,7.018709814548493
features.7.weight,0.0,89.22,99.58,0.7636774435639381
features.7.weight,0.05,89.25,99.6,0.7612242087721828
features.7.weight,0.1,89.33,99.59,0.7606694415211678
features.7.weight,0.15000000000000002,89.08,99.63,0.7673289388418197
features.7.weight,0.2,89.13,99.6,0.7778240397572519
features.7.weight,0.25,88.88000000000001,99.53999999999999,0.7890061371028423
features.7.weight,0.30000000000000004,88.72,99.52,0.8045065321028233
features.7.weight,0.35000000000000003,88.33,99.55000000000001,0.8166114121675492
features.7.weight,0.4,87.72,99.56,0.8861592426896094
features.7.weight,0.45,87.7,99.53,0.8387746773660182
features.7.weight,0.5,87.03,99.47,0.8264810189604759
features.7.weight,0.55,86.53,99.42,0.8401749722659588
features.7.weight,0.6000000000000001,85.37,99.36,0.829752704501152
features.7.weight,0.65,84.53,99.25,0.8404730081558227
features.7.weight,0.7000000000000001,81.17999999999999,98.83999999999999,1.0205668166279793
features.7.weight,0.75,79.34,98.67,1.0138855665922164
features.7.weight,0.8,73.58,97.69,1.3308990895748138
features.7.weight,0.8500000000000001,69.06,97.38,1.3030580282211301
features.7.weight,0.9,53.18000000000001,89.85,2.2446724444627772
features.10.weight,0.0,89.22,99.58,0.7636774435639381
features.10.weight,0.05,89.06,99.58,0.7635266423225402
features.10.weight,0.1,89.12,99.57000000000001,0.7542888924479484
features.10.weight,0.15000000000000002,88.92999999999999,99.53999999999999,0.7609276778995991
features.10.weight,0.2,88.79,99.5,0.77874139547348
features.10.weight,0.25,88.66000000000001,99.5,0.7760347723960876
features.10.weight,0.30000000000000004,88.16,99.45,0.7967557474970819
features.10.weight,0.35000000000000003,87.44000000000001,99.42999999999999,0.8225055634975433
features.10.weight,0.4,85.3,99.37,0.9658117935061457
features.10.weight,0.45,84.67,99.33999999999999,0.9441864915192125
features.10.weight,0.5,83.3,99.32,0.9676069594919682
features.10.weight,0.55,83.11,99.32,0.9194813281297682
features.10.weight,0.6000000000000001,80.66,99.1,1.1133895620703695
features.10.weight,0.65,74.46,98.33,1.4871227934956552
features.10.weight,0.7000000000000001,69.29,97.13000000000001,1.9071772634983062
features.10.weight,0.75,63.5,95.04,2.1230391800403594
features.10.weight,0.8,51.83,90.86999999999999,2.8775381684303287
features.10.weight,0.8500000000000001,43.400000000000006,86.31,3.10533235669136
features.10.weight,0.9,29.349999999999998,68.19,4.870438265800476
features.12.weight,0.0,89.22,99.58,0.7636774435639381
features.12.weight,0.05,89.27000000000001,99.58,0.7646440446376801
features.12.weight,0.1,89.29,99.57000000000001,0.7583929166197775
features.12.weight,0.15000000000000002,89.21,99.56,0.762963669002056
features.12.weight,0.2,89.01,99.56,0.7385730564594268
features.12.weight,0.25,88.92999999999999,99.53999999999999,0.7342981152236461
features.12.weight,0.30000000000000004,88.6,99.59,0.757648891210556
features.12.weight,0.35000000000000003,88.31,99.49,0.7588193118572234
features.12.weight,0.4,87.78,99.5,0.7745968967676164
features.12.weight,0.45,86.92,99.49,0.8063072130084035
features.12.weight,0.5,86.22,99.46000000000001,0.8100244864821435
features.12.weight,0.55,85.72,99.35000000000001,0.8138590052723886
features.12.weight,0.6000000000000001,83.6,99.22999999999999,0.8948326170444489
features.12.weight,0.65,81.17999999999999,98.83,0.9743211939930914
features.12.weight,0.7000000000000001,76.52,98.29,1.1834679618477826
features.12.weight,0.75,73.09,97.68,1.2202372476458552
features.12.weight,0.8,64.86000000000001,95.85000000000001,1.600474599003792
features.12.weight,0.8500000000000001,55.16,93.10000000000001,2.0641291558742516
features.12.weight,0.9,35.31999999999999,80.07,3.333579432964325
features.14.weight,0.0,89.22,99.58,0.7636774435639381
features.14.weight,0.05,89.18,99.57000000000001,0.7642287686467173
features.14.weight,0.1,89.14,99.53999999999999,0.763840524852276
features.14.weight,0.15000000000000002,88.91,99.56,0.7627260759472849
