parameter,sparsity,top1,top5,loss
features.module.0.weight,0.0,90.93,99.47,0.6692559264600276
features.module.0.weight,0.05,90.92,99.47,0.6690988287329673
features.module.0.weight,0.1,90.91,99.47,0.6692533545196054
features.module.0.weight,0.15000000000000002,90.8,99.51,0.667614870518446
features.module.0.weight,0.2,90.74,99.45,0.6767612747848034
features.module.0.weight,0.25,90.77,99.47,0.6721171900629997
features.module.0.weight,0.30000000000000004,90.51,99.5,0.6861152164638042
features.module.0.weight,0.35000000000000003,90.32,99.52,0.6949880458414555
features.module.0.weight,0.4,90.01,99.51,0.7139997139573095
features.module.0.weight,0.45,89.5,99.42999999999999,0.7504620119929313
features.module.0.weight,0.5,89.03,99.4,0.8016829878091813
features.module.0.weight,0.55,88.79,99.3,0.8072707198560237
features.module.0.weight,0.6000000000000001,87.49,99.2,0.918370771408081
features.module.0.weight,0.65,86.57000000000001,99.14,0.9536818996071813
features.module.0.weight,0.7000000000000001,83.78,98.81,1.1387261122465133
features.module.0.weight,0.75,77.08,97.66,1.560247530043125
features.module.0.weight,0.8,67.58999999999999,95.26,2.167594322562217
features.module.0.weight,0.8500000000000001,60.61000000000001,93.34,2.581526911258697
features.module.0.weight,0.9,40.63,85.02000000000001,4.008871185779572
features.module.2.weight,0.0,90.93,99.47,0.6692559219896795
features.module.2.weight,0.05,90.89,99.48,0.669460067898035
features.module.2.weight,0.1,90.86,99.44,0.6713570088148118
features.module.2.weight,0.15000000000000002,90.83,99.4,0.6726143166422844
features.module.2.weight,0.2,90.7,99.38,0.6837243437767029
features.module.2.weight,0.25,90.25,99.45,0.7265349410474299
features.module.2.weight,0.30000000000000004,89.21,99.38,0.7966136120259761
features.module.2.weight,0.35000000000000003,88.35,99.33,0.8673222482204439
features.module.2.weight,0.4,88.03,99.31,0.8825861036777498
features.module.2.weight,0.45,87.22999999999999,99.2,0.950459983944893
features.module.2.weight,0.5,84.44,98.91,1.1552318662405017
features.module.2.weight,0.55,80.42,98.4,1.4645473361015318
features.module.2.weight,0.6000000000000001,77.59,97.95,1.6982344359159471
features.module.2.weight,0.65,73.29,96.89,1.995515561103821
features.module.2.weight,0.7000000000000001,69.61,96.07,2.3076962500810625
features.module.2.weight,0.75,59.56,93.41000000000001,3.028918415307999
features.module.2.weight,0.8,50.59,89.38000000000001,3.415172547101974
features.module.2.weight,0.8500000000000001,35.84,79.69,4.509777694940567
features.module.2.weight,0.9,27.390000000000004,72.75,5.223302805423739
features.module.5.weight,0.0,90.93,99.47,0.6692559219896795
features.module.5.weight,0.05,90.95,99.46000000000001,0.6681679628789423
features.module.5.weight,0.1,90.72,99.46000000000001,0.6689290963113308
features.module.5.weight,0.15000000000000002,90.63,99.45,0.6755255162715913
features.module.5.weight,0.2,90.58,99.44,0.6889681063592434
features.module.5.weight,0.25,90.36,99.47,0.6984777480363847
features.module.5.weight,0.30000000000000004,90.18,99.47,0.7110927015542983
features.module.5.weight,0.35000000000000003,89.92,99.41,0.716961894184351
features.module.5.weight,0.4,89.61,99.46000000000001,0.7260976850986481
features.module.5.weight,0.45,88.63,99.38,0.7429451391100883
features.module.5.weight,0.5,85.77,99.1,0.8889077246189118
features.module.5.weight,0.55,82.94,98.9,1.0354220077395442
features.module.5.weight,0.6000000000000001,79.86,98.5,1.1959240287542339
features.module.5.weight,0.65,73.37,97.63,1.6120872646570208
features.module.5.weight,0.7000000000000001,69.10000000000001,96.7,1.8702481120824814
features.module.5.weight,0.75,55.06999999999999,93.22,2.8268324673175815
features.module.5.weight,0.8,34.309999999999995,83.72,4.615156948566437
features.module.5.weight,0.8500000000000001,23.61,75.48,5.859028172492981
features.module.5.weight,0.9,14.92,66.66000000000001,6.933825767040253
features.module.7.weight,0.0,90.93,99.47,0.6692559219896795
features.module.7.weight,0.05,90.82000000000001,99.48,0.6706861115992069
features.module.7.weight,0.1,90.72,99.42999999999999,0.6782251007854939
features.module.7.weight,0.15000000000000002,90.53999999999999,99.44,0.6914359241724015
features.module.7.weight,0.2,90.22,99.42999999999999,0.6971473284065722
features.module.7.weight,0.25,89.98,99.36,0.7087507657706736
features.module.7.weight,0.30000000000000004,89.56,99.36,0.712729112803936
features.module.7.weight,0.35000000000000003,89.06,99.36,0.7362848788499831
features.module.7.weight,0.4,88.28,99.29,0.7792428113520145
features.module.7.weight,0.45,87.74,99.1,0.8087845697999
features.module.7.weight,0.5,86.06,98.99,0.8717495843768117
features.module.7.weight,0.55,83.42,98.65,1.0323444232344625
features.module.7.weight,0.6000000000000001,81.32000000000001,98.33,1.204463630914688
features.module.7.weight,0.65,78.05,97.83,1.3818809509277346
features.module.7.weight,0.7000000000000001,72.31,96.54,1.7939699172973635
features.module.7.weight,0.75,60.160000000000004,92.30000000000001,2.63507724404335
features.module.7.weight,0.8,55.39000000000001,90.16,2.9101451873779296
features.module.7.weight,0.8500000000000001,45.14,86.77,3.833881312608719
features.module.7.weight,0.9,35.089999999999996,76.77000000000001,4.710112679004671
features.module.10.weight,0.0,90.93,99.47,0.6692559219896795
features.module.10.weight,0.05,90.95,99.46000000000001,0.6705086551606654
features.module.10.weight,0.1,90.71000000000001,99.41,0.6711264587938788
features.module.10.weight,0.15000000000000002,90.68,99.42999999999999,0.6777696236968042
features.module.10.weight,0.2,90.53999999999999,99.37,0.6781696103513241
features.module.10.weight,0.25,90.24,99.42,0.6863313406705858
features.module.10.weight,0.30000000000000004,89.96,99.41,0.6885525263845922
features.module.10.weight,0.35000000000000003,89.5,99.42,0.7048376530408857
features.module.10.weight,0.4,88.64,99.33,0.7461733937263489
features.module.10.weight,0.45,87.37,99.17,0.8162848562002182
features.module.10.weight,0.5,86.45,99.17,0.8736617445945739
features.module.10.weight,0.55,84.74,98.89,0.9555087387561797
features.module.10.weight,0.6000000000000001,83.01,98.61,1.062857578694821
features.module.10.weight,0.65,80.05,98.29,1.2567715153098107
features.module.10.weight,0.7000000000000001,76.01,97.69,1.4884072214365005
features.module.10.weight,0.75,74.56,97.55,1.5503956228494644
features.module.10.weight,0.8,68.17,95.81,1.9940202355384824
features.module.10.weight,0.8500000000000001,51.17,89.96,3.296700370311738
features.module.10.weight,0.9,41.75,84.13,3.6957924604415897
features.module.12.weight,0.0,90.93,99.47,0.6692559219896795
features.module.12.weight,0.05,90.96,99.44,0.6679774925112725
features.module.12.weight,0.1,90.82000000000001,99.42,0.67003466039896
features.module.12.weight,0.15000000000000002,90.71000000000001,99.42999999999999,0.6702918030321597
features.module.12.weight,0.2,90.33,99.42999999999999,0.6718512803316118
features.module.12.weight,0.25,90.34,99.39,0.6750395081937313
features.module.12.weight,0.30000000000000004,90.09,99.41,0.6719778679311275
features.module.12.weight,0.35000000000000003,89.79,99.41,0.6831181965768336
features.module.12.weight,0.4,89.3,99.39,0.6883666053414346
features.module.12.weight,0.45,88.64,99.35000000000001,0.7329882495105265
features.module.12.weight,0.5,87.44000000000001,99.32,0.7966521874070169
features.module.12.weight,0.55,86.14999999999999,99.22999999999999,0.8666965961456297
features.module.12.weight,0.6000000000000001,84.33,98.88,0.9393015101552009
features.module.12.weight,0.65,81.05,98.50999999999999,1.1145302936434744
features.module.12.weight,0.7000000000000001,75.02,97.82,1.4555630862712863
features.module.12.weight,0.75,72.78999999999999,97.35000000000001,1.4904023647308347
features.module.12.weight,0.8,65.55,96.23,1.916279849410057
features.module.12.weight,0.8500000000000001,57.269999999999996,93.26,2.2968807488679883
features.module.12.weight,0.9,44.720000000000006,89.22,3.0090278327465074
features.module.14.weight,0.0,90.93,99.47,0.6692559219896795
features.module.14.weight,0.05,90.9,99.42999999999999,0.6660525508224964
features.module.14.weight,0.1,90.86999999999999,99.38,0.668628565222025
features.module.14.weight,0.15000000000000002,90.8,99.38,0.6654499001801015
features.module.14.weight,0.2,90.75999999999999,99.38,0.6629222929477692
features.module.14.weight,0.25,90.64,99.39,0.6670274205505848
features.module.14.weight,0.30000000000000004,90.31,99.47,0.6693187534809112
features.module.14.weight,0.35000000000000003,90.0,99.42999999999999,0.6754926271736622
features.module.14.weight,0.4,89.5,99.42999999999999,0.7073422700166703
features.module.14.weight,0.45,89.07000000000001,99.46000000000001,0.7237449675798417
features.module.14.weight,0.5,88.37,99.33999999999999,0.7446963548660278
features.module.14.weight,0.55,87.51,99.2,0.7726304724812508
features.module.14.weight,0.6000000000000001,85.38,98.92999999999999,0.87779576331377
features.module.14.weight,0.65,83.95,98.78,0.9448466539382935
features.module.14.weight,0.7000000000000001,81.11,98.16,1.057556112110615
features.module.14.weight,0.75,72.61,96.63000000000001,1.5405680358409881
features.module.14.weight,0.8,64.36,93.04,2.1472644239664076
features.module.14.weight,0.8500000000000001,53.44,85.92999999999999,2.9526685476303105
features.module.14.weight,0.9,47.089999999999996,84.05,3.471282905340194
features.module.17.weight,0.0,90.93,99.47,0.6692559219896795
features.module.17.weight,0.05,90.92,99.46000000000001,0.6684170112013814
features.module.17.weight,0.1,90.85,99.44,0.6631406359374521
features.module.17.weight,0.15000000000000002,90.88000000000001,99.42,0.6575572237372398
features.module.17.weight,0.2,90.93,99.41,0.6481918901205062
features.module.17.weight,0.25,90.75999999999999,99.39,0.6438624344766137
features.module.17.weight,0.30000000000000004,90.79,99.4,0.6331793077290057
features.module.17.weight,0.35000000000000003,90.75,99.42,0.6228962279856204
features.module.17.weight,0.4,90.68,99.42,0.6127338252961634
features.module.17.weight,0.45,90.59,99.4,0.6080214835703373
features.module.17.weight,0.5,90.47,99.42,0.5982955045998096
features.module.17.weight,0.55,90.25,99.42,0.5902760840952397
features.module.17.weight,0.6000000000000001,89.98,99.4,0.5756854690611363
